id,title,product_link
173,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold",https://www.noon.com/saudi-en/macbook-air-with-13-3-inch-retina-display-core-i5-processor-10th-gen-macos-8gb-ram-512-gb-ssd-intel-iris-plus-graphics-with-english-keyboard-2020-gold-english-gold/N36062336A/p/?o=f5a2f63a5155b11c
174,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version,https://www.noon.com/saudi-en/galaxy-tab-s8-graphite-8gb-ram-128gb-5g-middle-east-version/N52535568A/p/?o=c52ad9141f39b82f
175,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver",https://www.noon.com/saudi-en/inspiron-14-5410-convertible-laptop-with-14-inch-fhd-touchscreen-display-11th-gen-intel-core-i3-1125g4-256gb-ssd-4-gb-ram-intel-uhd-graphics-win-10-home-eng-ar-kb-english-arabic-silver/N50226701A/p/?o=b790305fc48a2d2e
176,AirPods (3rd generation) with Lightning Charging Case White,https://www.noon.com/saudi-en/airpods-3rd-generation-with-lightning-charging-case-white/N53349332A/p/?o=acdf2eca6d2afd9c
177,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS,https://www.noon.com/saudi-en/eos-5d-mark-iv-dslr-camera-with-ef-24-105mm-is-usm-lens-fast-versatile-full-frame-camera-30-4-mp-4k-wi-fi-gps/N13299769A/p/?o=ae440035122d245e
178,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black",https://www.noon.com/saudi-en/65-inch-4k-uhd-google-tv-smart-tv-dolby-vision-dolby-atmos-google-assistant-in-built-chromecast-and-premium-streaming-channels-model-2023-65p637-black/N53362855A/p/?o=be83f5f423e3b68d
179,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black,https://www.noon.com/saudi-en/band-6-all-day-spo2-monitoring-fullview-display-2-weeks-battery-life-1-47-inch-graphite-black/N46954808A/p/?o=c0bca8a9176c08af
180,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version,https://www.noon.com/saudi-en/playstation-5-with-blu-ray-disc-version-new-model-official-ksa-version/N70022608V/p/?o=a2e071547d90cb4e
181,Flip 6 Portable Waterproof Speaker Black,https://www.noon.com/saudi-en/flip-6-portable-waterproof-speaker-black/N52103168A/p/?o=d5f6408d0cf41c5c
182,20000mAh High-Speed Charging Technology Powerbank 18 watt Black,https://www.noon.com/saudi-en/20000mah-high-speed-charging-technology-powerbank-18-watt-black/N43785642A/p/?o=c7ce75c5e275ac9e
183,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version,https://www.noon.com/saudi-en/ipad-2022-10th-generation-10-9-inch-64gb-wifi-silver-international-version/N53359870A/p/?o=b20b57f27aee378a
184,Apple iPhone 15 Pro Max,https://www.jarir.com/sa-en/default-category/apple-iphone-15-pro-max-smartphones-623606.html
185,Samsung Galaxy S23 Ultra,https://www.jarir.com/sa-en/default-category/samsung-galaxy-s23-ultra-smartphones-606986.html
186,"Apple iPhone 15 Pro Max, 5G, 6.7-inch, 256GB, Natural Titanium",https://www.extra.com/en-sa/mobiles-tablets/mobiles/smartphone/apple-iphone-15-pro-max-5g-6-7-inch-256gb-natural-titanium/p/100345839
187,Redmi Note 13 Dual SIM Chromatic Purple 8GB RAM 256GB 5G - Global Version,https://www.noon.com/saudi-en/redmi-note-13-dual-sim-chromatic-purple-8gb-ram-256gb-5g-global-version/N70094401V/p/?o=f1f56a1ea33f308c
188,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version,https://www.noon.com/saudi-en/iphone-15-pro-max-256gb-black-titanium-5g-with-facetime-middle-east-version/N53432493A/p/?o=ea494d7c3358a48d
189,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version,https://www.noon.com/saudi-en/galaxy-s23-ultra-5g-dual-sim-phantom-black-12gb-ram-256gb-international-version/N53379147A/p/?o=ffa06254b074517d
190,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones",https://www.noon.com/saudi-en/zipforce-true-wireless-earbuds-in-ear-bluetooth-5-3-headphones-bluetooth-earbuds-touch-control-30-playtime-ipx5-waterproof-tws-light-weight-earphones/ZDFD9FC0C48DF8C91D823Z/p/?o=zdfd9fc0c48df8c91d823z-1
191,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold",https://www.noon.com/saudi-en/macbook-air-with-13-3-inch-retina-display-core-i5-processor-10th-gen-macos-8gb-ram-512-gb-ssd-intel-iris-plus-graphics-with-english-keyboard-2020-gold-english-gold/N36062336A/p/?o=f5a2f63a5155b11c
192,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version,https://www.noon.com/saudi-en/galaxy-tab-s8-graphite-8gb-ram-128gb-5g-middle-east-version/N52535568A/p/?o=c52ad9141f39b82f
193,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver",https://www.noon.com/saudi-en/inspiron-14-5410-convertible-laptop-with-14-inch-fhd-touchscreen-display-11th-gen-intel-core-i3-1125g4-256gb-ssd-4-gb-ram-intel-uhd-graphics-win-10-home-eng-ar-kb-english-arabic-silver/N50226701A/p/?o=b790305fc48a2d2e
194,AirPods (3rd generation) with Lightning Charging Case White,https://www.noon.com/saudi-en/airpods-3rd-generation-with-lightning-charging-case-white/N53349332A/p/?o=acdf2eca6d2afd9c
195,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS,https://www.noon.com/saudi-en/eos-5d-mark-iv-dslr-camera-with-ef-24-105mm-is-usm-lens-fast-versatile-full-frame-camera-30-4-mp-4k-wi-fi-gps/N13299769A/p/?o=ae440035122d245e
196,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black",https://www.noon.com/saudi-en/65-inch-4k-uhd-google-tv-smart-tv-dolby-vision-dolby-atmos-google-assistant-in-built-chromecast-and-premium-streaming-channels-model-2023-65p637-black/N53362855A/p/?o=be83f5f423e3b68d
197,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black,https://www.noon.com/saudi-en/band-6-all-day-spo2-monitoring-fullview-display-2-weeks-battery-life-1-47-inch-graphite-black/N46954808A/p/?o=c0bca8a9176c08af
198,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version,https://www.noon.com/saudi-en/playstation-5-with-blu-ray-disc-version-new-model-official-ksa-version/N70022608V/p/?o=a2e071547d90cb4e
199,Flip 6 Portable Waterproof Speaker Black,https://www.noon.com/saudi-en/flip-6-portable-waterproof-speaker-black/N52103168A/p/?o=d5f6408d0cf41c5c
200,20000mAh High-Speed Charging Technology Powerbank 18 watt Black,https://www.noon.com/saudi-en/20000mah-high-speed-charging-technology-powerbank-18-watt-black/N43785642A/p/?o=c7ce75c5e275ac9e
201,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version,https://www.noon.com/saudi-en/ipad-2022-10th-generation-10-9-inch-64gb-wifi-silver-international-version/N53359870A/p/?o=b20b57f27aee378a
202,Apple iPhone 15 Pro Max,https://www.jarir.com/sa-en/default-category/apple-iphone-15-pro-max-smartphones-623606.html
203,Samsung Galaxy S23 Ultra,https://www.jarir.com/sa-en/default-category/samsung-galaxy-s23-ultra-smartphones-606986.html
204,"Apple iPhone 15 Pro Max, 5G, 6.7-inch, 256GB, Natural Titanium",https://www.extra.com/en-sa/mobiles-tablets/mobiles/smartphone/apple-iphone-15-pro-max-5g-6-7-inch-256gb-natural-titanium/p/100345839
205,Redmi Note 13 Dual SIM Chromatic Purple 8GB RAM 256GB 5G - Global Version,https://www.noon.com/saudi-en/redmi-note-13-dual-sim-chromatic-purple-8gb-ram-256gb-5g-global-version/N70094401V/p/?o=f1f56a1ea33f308c
206,DISQUE DUR INTERNE SSD ADATA ASX6000 LITE 256GB PCIE 3D NAND PCIE GEN,https://www.tunisianet.com.tn/disques-ssd/73444-disque-dur-interne-ssd-adata-asx6000-lite-256gb-pcie-3d-nand-pcie-gen.html
207,CLÉ USB TEAM GROUP C212 1TO USB 3.2 - NOIR,https://www.mytek.tn/cle-usb-team-group-c212-1to-usb-3-2-noir.html
208,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version,https://www.noon.com/saudi-en/iphone-15-pro-max-256gb-black-titanium-5g-with-facetime-middle-east-version/N53432493A/p/?o=ea494d7c3358a48d
209,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version,https://www.noon.com/saudi-en/galaxy-s23-ultra-5g-dual-sim-phantom-black-12gb-ram-256gb-international-version/N53379147A/p/?o=ffa06254b074517d
